Competition_Name,Gender,Country,Season_End_Year,Squad,Team_or_Opponent,Rk,MP,W,D,L,GF,GA,GD,Pts_2023,Pts.MP,xG,xGA,xGD,xGD.90,Last.5,Attendance,Top.Team.Scorer,Goalkeeper,Notes
Premier League,M,ENG,2023,Arsenal,team,2,35,25,6,4,83,39,44,81,2.31,67.5,39.2,28.3,0.81,D D L W W,60200.0,"Martin Ødegaard, Martinelli - 15",Aaron Ramsdale,-2147483648
Premier League,M,ENG,2023,Aston Villa,team,8,35,16,6,13,46,43,3,54,1.54,44.9,49.0,-4.1,-0.12,W D W L L,41650.0,Ollie Watkins - 14,Emiliano Martínez,-2147483648
Premier League,M,ENG,2023,Bournemouth,team,14,35,11,6,18,37,67,-30,39,1.11,36.8,59.9,-23.1,-0.66,W L W W L,10369.0,Philip Billing - 7,Neto,-2147483648
Premier League,M,ENG,2023,Brentford,team,9,35,12,14,9,52,45,7,50,1.43,50.8,46.3,4.5,0.13,L D W W L,17075.0,Ivan Toney - 20,David Raya,-2147483648
Premier League,M,ENG,2023,Brighton,team,7,32,16,7,9,62,40,22,55,1.72,61.8,38.1,23.7,0.74,L W L W W,31475.0,Alexis Mac Allister - 9,Robert Sánchez,-2147483648
Premier League,M,ENG,2023,Chelsea,team,11,34,11,9,14,34,39,-5,42,1.24,42.9,43.2,-0.3,-0.01,L L L L W,39993.0,Kai Havertz - 7,Kepa Arrizabalaga,-2147483648
Premier League,M,ENG,2023,Crystal Palace,team,12,35,10,10,15,35,46,-11,40,1.14,34.8,45.6,-10.8,-0.31,W D L W L,24932.0,Eberechi Eze - 8,Vicente Guaita,-2147483648
Premier League,M,ENG,2023,Everton,team,19,34,6,11,17,27,52,-25,29,0.85,38.3,59.7,-21.5,-0.63,L L D L D,39238.0,Dwight McNeil - 5,Jordan Pickford,-2147483648
Premier League,M,ENG,2023,Fulham,team,10,34,13,6,15,45,46,-1,45,1.32,39.8,56.2,-16.4,-0.48,W W L L L,23669.0,Aleksandar Mitrović - 11,Bernd Leno,-2147483648
Premier League,M,ENG,2023,Leeds United,team,17,35,7,9,19,44,69,-25,30,0.86,43.0,60.5,-17.5,-0.5,L L D L L,36525.0,Rodrigo - 12,Illan Meslier,-2147483648
Premier League,M,ENG,2023,Leicester City,team,16,34,8,6,20,46,59,-13,30,0.88,45.9,56.2,-10.3,-0.3,L L W D D,31850.0,Harvey Barnes - 10,Danny Ward,-2147483648
Premier League,M,ENG,2023,Liverpool,team,5,35,18,8,9,67,42,25,62,1.77,65.7,47.3,18.4,0.52,W W W W W,50220.0,Mohamed Salah - 19,Alisson,-2147483648
Premier League,M,ENG,2023,Manchester City,team,1,34,26,4,4,89,31,58,82,2.41,73.3,25.9,47.5,1.4,W W W W W,53236.0,Erling Haaland - 35,Ederson,-2147483648
Premier League,M,ENG,2023,Manchester Utd,team,4,34,19,6,9,49,41,8,63,1.85,55.1,45.3,9.8,0.29,W D W L L,73697.0,Marcus Rashford - 16,David de Gea,-2147483648
Premier League,M,ENG,2023,Newcastle Utd,team,3,34,18,11,5,61,29,32,65,1.91,62.2,34.7,27.5,0.81,L W W W L,52126.0,Callum Wilson - 15,Nick Pope,-2147483648
Premier League,M,ENG,2023,Nott'ham Forest,team,18,34,7,9,18,30,62,-32,30,0.88,35.2,57.9,-22.7,-0.67,L L L W L,29171.0,Brennan Johnson - 8,Dean Henderson,-2147483648
Premier League,M,ENG,2023,Southampton,team,20,34,6,6,22,28,60,-32,24,0.71,31.8,51.3,-19.5,-0.57,L L D L L,30486.0,James Ward-Prowse - 7,Gavin Bazunu,-2147483648
Premier League,M,ENG,2023,Tottenham,team,6,35,17,6,12,64,57,7,57,1.63,51.8,45.7,6.1,0.17,L L D L W,61589.0,Harry Kane - 26,Hugo Lloris,-2147483648
Premier League,M,ENG,2023,West Ham,team,15,35,10,7,18,38,50,-12,37,1.06,45.4,47.4,-1.9,-0.06,W L L L W,62462.0,Saïd Benrahma - 6,Łukasz Fabiański,-2147483648
Premier League,M,ENG,2023,Wolves,team,13,35,11,7,17,30,50,-20,40,1.14,34.5,52.0,-17.5,-0.5,W L W L W,31471.0,"Rúben Neves, Daniel Podence - 6",José Sá,-2147483648
